"name"
"Khalid al Zerkani"
"Younes Abaaoud"
"Yassine Abaaoud"
"Zouhir Mehdaoui"
"Redouane Hagaoui"
"Tarik Jadaoun"
"August Recruit"
"Reda Hame"
"Mehdi Nemmouche"
"Ayoub El Khazzani"
